sku,brand,name,gross_weight,dimension_length,dimension_width,dimension_height,dimension_uom,volume
1002005855-200213000188,FOMAC,ICE BLENDER MACHINE 2L 26000RPM,6.554,430,295,310,MM,39323.5
1001002804-0 3973 8033,AEG,SDS MAX DEMOLITION HAMMER 6KG MH 5 E,8.142,590,450,184,MM,48852
1001002810-060164E2K0,BOSCH,SABRE SAW GSA 1300 PCE,6.054,475,475,161,MM,36325.625
1001002826-D25124K-B1,DEWALT,HAMMER DRILL 800W D25124K-B1,4.601,505,145,377,MM,27605.825
1001002796-7100010341,3M,PERFECT-IT EX RUBBING COMPOUND 36060,2.210,214.34,210.34,294.16,MM,13261.99051
1001002796-7100061948,3M,PERFECT-IT EX ULTRAFINE MACHINE POLISH,2.210,214.34,210.34,294.16,MM,13261.99051
1001000896-201181,CLEAN MATIC,RUBBER MOP ALUMINIUM HANDLE 201181,5.502,131,42,6,CM,33012
1001002790-3004362,PHOENIX CONTACT,FEED THROUGH TERMINAL BLOCK UK  5 N,1.513,750,220,55, MM ,9075
1001002796-60980109130,3M,MACHINE POLISH 1 QUART 06064,2.169,294.16,210.34,210.34,MM,13014.49605
1001000896-960040,CLEAN MATIC,RUBBER MOP 960040,5.376,128,42,6,CM,32256
1001002796-N -604  ,3M,CLEAN AND STRIP DISC 4 X 5/8 IN,1.161,254,203.2,135,MM,6967.728
1001002826-D25122K-B1,DEWALT,ROTARY HAMMER 2KG 800W D25122K-B1,4.171,377,295,225,MM,25023.375
1001002826-D25132K-B1,DEWALT,ROTARY HAMMER 2KG 800W D25132K-B1,4.171,377,295,225,MM,25023.375
1001002794-93-545-23,STANLEY,TRAY (5) CANTILEVER BOX (Y/B) 93-545-23,3.685,466,204.5,232,MM,22108.904
1001002794-IR-LUB5130,INGERSOLL RAND,GREASE GUN 20 V IR-LUB5130,4.875,533.4,431.8,127,MM,29250.90924
1001002835-1011812,BOSSARD,HEX SOC HEAD CAP SCREW M2x5 1011812 ,1.030,255,255,95,MM,6177.375
1001002835-1110446,BOSSARD,HEX SOC HEAD CAP SCREW M4x6 1110446 ,1.030,255,255,95,MM,6177.375
1001002835-1110454,BOSSARD,HEX SOC HEAD CAP SCREW M4x8 1110454 ,1.030,255,255,95,MM,6177.375
1001002835-1017985,BOSSARD,HEX SOC HEAD CAP SCREW M3x8 1017985 ,1.030,255,255,95,MM,6177.375
1001002835-1018612,BOSSARD,HEX SOC HEAD CAP SCREW M8x20 1018612 ,1.030,255,255,95,MM,6177.375
